epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,386.127,1.9435,3.60317,1.3458,0.68906,0.36524,0.37492,0.17965,1.71263,1.57848,1.2255,0.00027727,0.00027727,0.00027727
2,450.697,1.79402,2.29088,1.28095,0.53763,0.48514,0.39617,0.18118,1.76098,1.49424,1.28725,0.000543949,0.000543949,0.000543949
3,512.875,1.79494,1.85682,1.27027,0.4927,0.49281,0.41801,0.19442,1.74148,1.45343,1.25223,0.000799632,0.000799632,0.000799632
4,574.788,1.75976,1.62252,1.25797,0.47341,0.50654,0.47442,0.24075,1.69453,1.39928,1.23593,0.00078352,0.00078352,0.00078352
5,636.757,1.72821,1.49163,1.24392,0.54809,0.54419,0.52694,0.27353,1.68046,1.28089,1.23361,0.000767026,0.000767026,0.000767026
6,698.318,1.73399,1.42871,1.23669,0.53346,0.52603,0.50962,0.25826,1.67692,1.32545,1.23974,0.000750533,0.000750533,0.000750533
7,760.317,1.70981,1.37644,1.23372,0.53023,0.52517,0.52208,0.26474,1.69529,1.32276,1.23238,0.00073404,0.00073404,0.00073404
8,822.025,1.70607,1.35497,1.23258,0.54656,0.49571,0.53422,0.28107,1.66532,1.25905,1.21839,0.000717546,0.000717546,0.000717546
9,883.729,1.68264,1.2978,1.22121,0.7432,0.51486,0.58161,0.31323,1.60254,1.2094,1.21549,0.000701053,0.000701053,0.000701053
10,945.625,1.67433,1.28241,1.20431,0.61038,0.56465,0.589,0.30743,1.65149,1.19853,1.22011,0.000684559,0.000684559,0.000684559
11,1007.09,1.68365,1.25087,1.21687,0.66143,0.57492,0.57704,0.31437,1.65203,1.1997,1.21714,0.000668066,0.000668066,0.000668066
12,1068.45,1.66762,1.22738,1.19849,0.71021,0.56787,0.58455,0.31213,1.64294,1.19146,1.2027,0.000651573,0.000651573,0.000651573
13,1130.06,1.64911,1.21932,1.19896,0.71345,0.5787,0.59047,0.32417,1.611,1.18303,1.20132,0.000635079,0.000635079,0.000635079
14,1191.82,1.64709,1.21238,1.18823,0.62128,0.62149,0.62161,0.34483,1.63469,1.14971,1.19464,0.000618586,0.000618586,0.000618586
15,1253.78,1.63544,1.19416,1.18502,0.66391,0.57109,0.59709,0.32995,1.6328,1.154,1.21897,0.000602092,0.000602092,0.000602092
16,1316.04,1.63683,1.18874,1.1894,0.73907,0.55932,0.61525,0.333,1.68585,1.17446,1.22891,0.000585599,0.000585599,0.000585599
17,1379.65,1.63262,1.15268,1.18478,0.72195,0.53816,0.59112,0.32553,1.62227,1.14346,1.20012,0.000569106,0.000569106,0.000569106
18,1441.54,1.61917,1.14576,1.18546,0.58602,0.63046,0.63266,0.35594,1.59405,1.11327,1.20038,0.000552612,0.000552612,0.000552612
19,1503.69,1.60957,1.12229,1.16968,0.6364,0.64451,0.63636,0.35108,1.6544,1.11861,1.19789,0.000536119,0.000536119,0.000536119
20,1565.54,1.61277,1.13823,1.17165,0.75135,0.58426,0.61495,0.34051,1.59853,1.09236,1.18908,0.000519625,0.000519625,0.000519625
21,1627.55,1.59903,1.11951,1.16825,0.71975,0.58625,0.61132,0.34299,1.62088,1.11293,1.18706,0.000503132,0.000503132,0.000503132
22,1689.67,1.60401,1.09644,1.16613,0.76778,0.57685,0.64105,0.35401,1.6292,1.09632,1.19376,0.000486639,0.000486639,0.000486639
23,1752.09,1.60343,1.09973,1.16572,0.73629,0.57801,0.6294,0.34976,1.66002,1.12726,1.19549,0.000470145,0.000470145,0.000470145
24,1814.07,1.56005,1.07519,1.15399,0.72319,0.58524,0.62476,0.351,1.61844,1.06607,1.19531,0.000453652,0.000453652,0.000453652
25,1876.09,1.58233,1.06992,1.15937,0.62942,0.59435,0.63076,0.35486,1.61313,1.05949,1.19299,0.000437158,0.000437158,0.000437158
26,1937.58,1.56486,1.0618,1.15137,0.61064,0.60684,0.61706,0.34675,1.62087,1.06058,1.20074,0.000420665,0.000420665,0.000420665
27,2000.4,1.56304,1.06177,1.1496,0.60417,0.66728,0.62627,0.35503,1.5947,1.05757,1.17598,0.000404172,0.000404172,0.000404172
28,2062.62,1.55298,1.03267,1.14805,0.63178,0.6491,0.63944,0.35914,1.6378,1.10205,1.19697,0.000387678,0.000387678,0.000387678
29,2124.38,1.54849,1.02322,1.14002,0.70602,0.59712,0.64844,0.36653,1.60112,1.04326,1.18543,0.000371185,0.000371185,0.000371185
30,2186.2,1.55223,1.02328,1.142,0.60955,0.61033,0.65024,0.37211,1.61937,1.03512,1.18261,0.000354691,0.000354691,0.000354691
31,2248.27,1.54093,1.02162,1.13586,0.62474,0.63254,0.64149,0.35328,1.6345,1.06192,1.19693,0.000338198,0.000338198,0.000338198
32,2310.26,1.52933,1.00432,1.13588,0.68293,0.63098,0.66852,0.37496,1.60376,1.03399,1.18112,0.000321705,0.000321705,0.000321705
33,2372.48,1.5315,1.00453,1.13722,0.66714,0.6137,0.65398,0.37755,1.59131,1.02903,1.17596,0.000305211,0.000305211,0.000305211
34,2434.57,1.51375,0.98108,1.12193,0.69861,0.62256,0.65807,0.37196,1.59242,1.02387,1.18108,0.000288718,0.000288718,0.000288718
35,2496.17,1.52477,0.968,1.1257,0.63883,0.67446,0.66442,0.38287,1.61247,1.02911,1.18773,0.000272224,0.000272224,0.000272224
36,2558.2,1.49944,0.97685,1.12392,0.66763,0.62125,0.6569,0.37534,1.608,1.0302,1.18224,0.000255731,0.000255731,0.000255731
37,2620.27,1.50409,0.94691,1.11977,0.71396,0.61251,0.66933,0.38576,1.58947,1.00698,1.17814,0.000239238,0.000239238,0.000239238
38,2682.37,1.47954,0.95999,1.11772,0.64399,0.63623,0.65802,0.37972,1.60448,1.01512,1.18074,0.000222744,0.000222744,0.000222744
39,2744.58,1.5017,0.94854,1.11322,0.67322,0.62276,0.67429,0.39099,1.59813,0.99727,1.18377,0.000206251,0.000206251,0.000206251
40,2806.55,1.48422,0.92886,1.11271,0.66721,0.65237,0.66741,0.39033,1.60647,0.99141,1.17997,0.000189757,0.000189757,0.000189757
41,2870.47,1.48814,0.94738,1.12855,0.72369,0.63396,0.67611,0.39703,1.59447,1.01078,1.17703,0.000173264,0.000173264,0.000173264
42,2932.53,1.49673,0.90459,1.13026,0.64578,0.68518,0.68145,0.39611,1.61179,0.99582,1.17819,0.000156771,0.000156771,0.000156771
43,2994.19,1.47191,0.88811,1.11477,0.64334,0.6554,0.6717,0.39079,1.61916,0.99983,1.19389,0.000140277,0.000140277,0.000140277
44,3055.91,1.47405,0.87586,1.10807,0.7004,0.61199,0.66763,0.39327,1.59921,0.98508,1.17925,0.000123784,0.000123784,0.000123784
45,3117.55,1.47252,0.87483,1.11718,0.69993,0.62077,0.67662,0.4049,1.58109,0.996,1.1801,0.00010729,0.00010729,0.00010729
46,3179.41,1.45413,0.85409,1.10832,0.67182,0.66628,0.67955,0.40394,1.59247,0.96949,1.17961,9.0797e-05,9.0797e-05,9.0797e-05
47,3241.11,1.42771,0.83468,1.10238,0.71762,0.6286,0.67862,0.40314,1.59384,0.98359,1.17566,7.43036e-05,7.43036e-05,7.43036e-05
48,3303.41,1.43672,0.83845,1.10051,0.73237,0.61929,0.68332,0.40183,1.59373,0.9875,1.18063,5.78102e-05,5.78102e-05,5.78102e-05
49,3365.04,1.43065,0.8231,1.10243,0.72369,0.61891,0.67881,0.39766,1.60716,0.9711,1.18456,4.13168e-05,4.13168e-05,4.13168e-05
50,3426.45,1.41469,0.813,1.09549,0.70271,0.63003,0.6763,0.39458,1.61913,0.98516,1.18974,2.48234e-05,2.48234e-05,2.48234e-05
