epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.0228,1.9435,3.60317,1.3458,0.68906,0.36524,0.37492,0.17965,1.71263,1.57848,1.2255,0.00027727,0.00027727,0.00027727
2,133.454,1.79619,2.29193,1.27972,0.54374,0.47224,0.43256,0.20326,1.74555,1.4938,1.26402,0.000549443,0.000549443,0.000549443
3,197.383,1.80931,1.8595,1.2755,0.53272,0.4294,0.417,0.1973,1.73439,1.40978,1.26399,0.000816118,0.000816118,0.000816118
4,260.733,1.75708,1.61476,1.26896,0.48286,0.47951,0.47319,0.23959,1.69865,1.37124,1.25073,0.00080826,0.00080826,0.00080826
5,324.712,1.73612,1.48761,1.25135,0.46511,0.51574,0.4852,0.2519,1.70332,1.28233,1.25632,0.000800013,0.000800013,0.000800013
6,388.35,1.74142,1.41741,1.25175,0.36798,0.52939,0.47811,0.24778,1.6837,1.32793,1.24739,0.000791767,0.000791767,0.000791767
7,451.818,1.71982,1.38057,1.24726,0.66565,0.51145,0.52733,0.2796,1.64435,1.28177,1.218,0.00078352,0.00078352,0.00078352
8,515.095,1.71832,1.35192,1.24216,0.68834,0.50021,0.54317,0.28474,1.70131,1.30239,1.25006,0.000775273,0.000775273,0.000775273
9,579.149,1.69711,1.31507,1.23615,0.68162,0.51797,0.54577,0.28354,1.65412,1.21824,1.22418,0.000767026,0.000767026,0.000767026
10,643.124,1.68399,1.3021,1.21168,0.58013,0.59406,0.57529,0.29142,1.66655,1.2305,1.21634,0.00075878,0.00075878,0.00075878
11,707.445,1.69254,1.26749,1.21937,0.652,0.52932,0.56998,0.30617,1.67938,1.20113,1.22653,0.000750533,0.000750533,0.000750533
12,771.573,1.67799,1.24387,1.20648,0.64542,0.57096,0.57737,0.30885,1.66931,1.20491,1.22206,0.000742286,0.000742286,0.000742286
13,835.466,1.66018,1.2418,1.21007,0.67757,0.50744,0.54347,0.28406,1.65483,1.2145,1.21356,0.00073404,0.00073404,0.00073404
14,899.526,1.65962,1.24073,1.20214,0.64109,0.59746,0.61039,0.3367,1.64991,1.15705,1.19573,0.000725793,0.000725793,0.000725793
15,963.933,1.64004,1.21592,1.18818,0.6903,0.56158,0.59159,0.32531,1.62319,1.17161,1.21608,0.000717546,0.000717546,0.000717546
16,1027.9,1.65259,1.2032,1.2037,0.71173,0.55738,0.60346,0.32185,1.64764,1.18217,1.22936,0.000709299,0.000709299,0.000709299
17,1092.27,1.64831,1.17237,1.19405,0.67841,0.53479,0.56935,0.29743,1.64531,1.16497,1.21093,0.000701053,0.000701053,0.000701053
18,1156.39,1.6372,1.17157,1.20249,0.56668,0.59006,0.58646,0.32408,1.61094,1.15011,1.21012,0.000692806,0.000692806,0.000692806
19,1220.45,1.62809,1.1581,1.18595,0.57284,0.63268,0.6,0.33954,1.61676,1.14763,1.19399,0.000684559,0.000684559,0.000684559
20,1284.57,1.62968,1.1698,1.18892,0.68788,0.57079,0.57802,0.31551,1.64015,1.12657,1.21075,0.000676313,0.000676313,0.000676313
21,1348.97,1.6151,1.15623,1.1818,0.71361,0.53756,0.58943,0.31804,1.6572,1.1595,1.20371,0.000668066,0.000668066,0.000668066
22,1413.07,1.62471,1.11486,1.18171,0.72722,0.6125,0.6373,0.34841,1.66868,1.11978,1.21285,0.000659819,0.000659819,0.000659819
23,1477.1,1.62509,1.13302,1.18197,0.71862,0.57992,0.61457,0.3373,1.67623,1.14879,1.21716,0.000651573,0.000651573,0.000651573
24,1541.06,1.5879,1.1042,1.16805,0.6694,0.62747,0.61194,0.34465,1.62654,1.07447,1.19965,0.000643326,0.000643326,0.000643326
25,1604.74,1.60356,1.10734,1.17318,0.63989,0.5754,0.62995,0.34938,1.61458,1.07525,1.202,0.000635079,0.000635079,0.000635079
26,1669.47,1.58492,1.09067,1.16463,0.66316,0.6212,0.62105,0.34234,1.63938,1.08258,1.20464,0.000626832,0.000626832,0.000626832
27,1733.62,1.59341,1.09894,1.16702,0.51508,0.62667,0.56761,0.30677,1.65549,1.1228,1.20348,0.000618586,0.000618586,0.000618586
28,1798.84,1.57896,1.07394,1.1634,0.67516,0.59202,0.64801,0.36572,1.62564,1.09112,1.19414,0.000610339,0.000610339,0.000610339
29,1863.47,1.58302,1.07107,1.16309,0.67839,0.6221,0.64759,0.36072,1.63067,1.07945,1.20122,0.000602092,0.000602092,0.000602092
30,1927.8,1.58513,1.07815,1.16407,0.72845,0.58575,0.64171,0.36203,1.60814,1.05585,1.185,0.000593846,0.000593846,0.000593846
31,1991.75,1.57224,1.07981,1.15908,0.63818,0.59441,0.60925,0.32448,1.68571,1.11996,1.21724,0.000585599,0.000585599,0.000585599
32,2055.72,1.56258,1.06166,1.15849,0.61362,0.63111,0.63663,0.35849,1.6222,1.07573,1.19548,0.000577352,0.000577352,0.000577352
33,2119.66,1.57585,1.06079,1.1609,0.6405,0.58121,0.61735,0.35099,1.62051,1.09383,1.19862,0.000569106,0.000569106,0.000569106
34,2183.53,1.56581,1.04724,1.14811,0.63115,0.6533,0.65586,0.37564,1.58076,1.05558,1.17708,0.000560859,0.000560859,0.000560859
35,2247.99,1.57033,1.03908,1.15407,0.6464,0.65224,0.65291,0.37295,1.63565,1.07071,1.20465,0.000552612,0.000552612,0.000552612
36,2312.03,1.54645,1.03926,1.1516,0.65512,0.62533,0.66671,0.37912,1.61247,1.02037,1.18863,0.000544365,0.000544365,0.000544365
37,2375.93,1.55198,1.01672,1.14383,0.63187,0.65149,0.65934,0.38057,1.60108,1.05126,1.18083,0.000536119,0.000536119,0.000536119
38,2439.95,1.53736,1.04074,1.14632,0.60917,0.60125,0.61569,0.34677,1.61366,1.06493,1.19059,0.000527872,0.000527872,0.000527872
39,2504.13,1.55073,1.01936,1.14337,0.66449,0.62548,0.65998,0.37911,1.64019,1.03653,1.20031,0.000519625,0.000519625,0.000519625
40,2567.99,1.54,1.00906,1.14756,0.68283,0.61284,0.65327,0.37218,1.60113,1.01785,1.18201,0.000511379,0.000511379,0.000511379
41,2631.99,1.55066,1.00049,1.14093,0.65504,0.65878,0.65159,0.37149,1.6064,1.01201,1.1817,0.000503132,0.000503132,0.000503132
42,2695.7,1.5379,1.00432,1.14074,0.66298,0.65197,0.66474,0.37908,1.61709,1.0434,1.19147,0.000494885,0.000494885,0.000494885
43,2760.04,1.5238,0.9933,1.13686,0.67093,0.61252,0.64134,0.37134,1.63664,1.06519,1.19711,0.000486639,0.000486639,0.000486639
44,2824.17,1.53169,1.00464,1.13318,0.68662,0.63935,0.66298,0.38162,1.58011,1.02261,1.17709,0.000478392,0.000478392,0.000478392
45,2888.87,1.5227,0.96936,1.12446,0.67537,0.62462,0.66772,0.38795,1.62145,1.01478,1.19988,0.000470145,0.000470145,0.000470145
46,2953.37,1.5121,0.96722,1.12467,0.65486,0.64495,0.65637,0.37646,1.59269,1.01505,1.17305,0.000461898,0.000461898,0.000461898
47,3018.18,1.5155,0.98067,1.12581,0.69462,0.61436,0.67176,0.37805,1.60275,1.00929,1.1819,0.000453652,0.000453652,0.000453652
48,3082.44,1.51617,0.94849,1.12186,0.69624,0.62171,0.66931,0.3807,1.63465,1.01469,1.19407,0.000445405,0.000445405,0.000445405
49,3147.27,1.51546,0.94556,1.12389,0.63285,0.64952,0.65576,0.38364,1.59829,1.00541,1.18046,0.000437158,0.000437158,0.000437158
50,3211.64,1.503,0.92567,1.11558,0.70655,0.61747,0.65438,0.3744,1.59407,0.99164,1.17152,0.000428912,0.000428912,0.000428912
51,3275.67,1.4976,0.93013,1.11988,0.68743,0.61157,0.63275,0.35371,1.65991,1.02367,1.20792,0.000420665,0.000420665,0.000420665
52,3340.43,1.48437,0.93001,1.1096,0.6531,0.62442,0.6505,0.3702,1.63966,1.00665,1.19504,0.000412418,0.000412418,0.000412418
53,3405.84,1.4986,0.92037,1.11856,0.72556,0.62328,0.67374,0.38964,1.63785,0.97144,1.19627,0.000404172,0.000404172,0.000404172
54,3471.67,1.49412,0.91355,1.11001,0.65923,0.65845,0.66804,0.38195,1.62852,0.99737,1.19499,0.000395925,0.000395925,0.000395925
55,3536.75,1.47238,0.91418,1.11346,0.63171,0.63737,0.66398,0.38246,1.63439,0.99826,1.19624,0.000387678,0.000387678,0.000387678
56,3601.2,1.48151,0.90593,1.10837,0.71538,0.61493,0.6654,0.38087,1.62475,0.99297,1.19131,0.000379431,0.000379431,0.000379431
57,3665.91,1.47433,0.87996,1.10598,0.66283,0.63424,0.6651,0.37548,1.6309,0.98621,1.19919,0.000371185,0.000371185,0.000371185
58,3730.79,1.46301,0.88861,1.10387,0.70664,0.64078,0.66483,0.38201,1.61702,0.99192,1.18494,0.000362938,0.000362938,0.000362938
